Laptop_name,price
"Lenovo Ideapad 5 Laptop With 14-Inch FHD Display, Core i5-1135G7 Processor/ 8GB RAM / 256GB SSD / Intel Iris Xe Graphics / Windows 10 Home / English Arabic Keyboard / English/Arabic Platinum Grey ","1,999"
"Lenovo ThinkPad L14 Gen 2 Laptop With 14-inch FHD (1920x1080) Display ,Core i5-1135G7 Processor /8GB RAM DDR4/256GB SSD/Windows 10 Pro/Integrated Intel Xe Graphics/ English/Arabic Black ","2,599"
"Apple 2023 MacBook Pro Laptop M3 chip with 8‑core CPU, 10‑core GPU: 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 512GB SSD Storage And Works with iPhone/iPad English/Arabic Silver ","6,479"
"ASUS TUF Gaming F17 Laptop With 17.3-Inch FHD Display, Core i9-13900H Processor/32GB RAM/2TB SSD/8GB Nvidia GeForce RTX 4060 Graphics Card/DOS(Without Windows) English/Arabic Mecha Grey ","6,599"
"ASUS VivoBook Laptop With 15.6-Inch Full HD Display, Core i5-1235U Processor/8GB RAM/512GB SSD/Windows 11/Intel UHD Graphics/ English/Arabic Cool Silver ","2,499"
"Lenovo ThinkPad E14 Gen 4 Laptop With 14-Inch FHD Display, Core i5 Processor/8GB RAM/256GB SSD/DOS/Intel Iris Xe Graphics Card/Fingerprint Reader English/Arabic Black ","2,880"
"MSI CreatorPro Z17HX Studio Laptop With 17-inch Quad HD Touch Display, Core i9 -13980HX Processor/64GB RAM DDR5/2TB SSD/Windows 11 Pro/Nvidia GeForce RTX3000 8GB/ English/Arabic Grey ","12,890"
"ASUS VivoBook Flip Laptop With 14-Inch Display, Core i5-12500H Processor/8GB RAM/512GB SSD/Intel Iris XE Graphics/Windows 11 English Silver ","2,499"
"Microsoft Renewed - Surface 1769 (2018) Laptop With 13.5-Inch Display, Intel Core i5 Processor/7th Gen/8GB RAM/256GB SSD/Intel HD Graphics English Silver ","2,058"
"HP Pavilion Laptop With 15.7-inch Display, Ryzen 7-7730U Processor/16GB RAM/512GB SSD/Windows 11/AMD Radeon Graphics English/Arabic Fog Blue ","2,499"
"Apple 2023 MacBook Pro Laptop M3 Max chip with 14‑core CPU, 30‑core GPU: 16.2-inch Liquid Retina XDR Display, 36GB Unified Memory, 1TB SSD Storage And Works with iPhone/iPad English/Arabic Space Black ","15,849"
"ASUS Vivobook Go 15 Laptop With 15.6-Inch OLED Display, AMD Ryzen 5 7520U Processor/8GB RAM/512GB SSD/Windows 11 Home/AMD Radeon Graphics/ English/Arabic Green Grey ","1,945"
"Microsoft Surface Pro9 13 Inch QHD Display, Intel Core i7-1255U Processor/16GB RAM/512 SSD/Windows 11 Home/ English/Arabic Graphite ","6,849"
"Acer Aspire 3 Laptop With 15.6-Inch FHD  Display, Core i7 Processor /8GB RAM/1TB HDD+256 SSD/DOS/2GB Nvidia Geforce MX350 Graphics English/Arabic Pure Silver ","2,499"
"HUAWEI MateBook 14 Laptop With 14-Inch Display, Core i5-1240P Processor/16GB RAM/512GB SSD/Intel UHD Graphics/Windows 11 Home English/Arabic Space Gray ","2,599"
"ASUS X415EP-EK311 Laptop With 14-inch FHD Display, Core i5 Processor/8GB RAM/512GB SSD/DOS/2GB NVIDIA GeForce MX330 Graphics English/Arabic Slate Grey ","2,099"
"ASUS ExpertBook B1500CEAE-BQ2865 Laptop With 15.6-Inch FHD Display, Core i7 Processor/16GB RAM/512GB SSD/DOS(Without windows)/Intel Iris Xe Graphics Card English/Arabic Black ","3,050"
"DELL Latitude 7440 Notebook Laptop 13th Gen Intel i7-1355U, Ram 16Gb LPDDR5, M.2 1Tb Ssd, Intel Iris Xe Graphics, 14.0"" FHD+ (1920x1200) Non-Touch, FHD IR Cam+IP, Win 11 Pro English/Arabic Grey ","7,050"
