,price,Category,Inch,Core,Processor,Ram,Memory,Opysys
281,"5,799",Apple,,,,8GB,265GB SSD,
282,"7,799",Lenovo,14-Inch,Core i7,-1360P,16GB,1TB SSD,Windows 11
283,"1,219",ASUS,,Core i3,-1215U,4GB,256GB SSD,
284,"1,799",Lenovo,15.6-Inch,Core i5,-1235U,8GB,512GB SSD,
285,"4,999",Microsoft,14.4-Inch,Core i5,,16GB,256GB SSD,
286,"2,199",Lenovo,15.6-Inch,,-5500H,16GB,512GB SSD,
287,"5,499",HP,,Core i7,,16GB,1TB SSD,Windows 11
288,"6,799",Apple,,,,16GB,512GB SSD,
289,"4,699",HP,,,-7730U,16GB,1TB SSD,Windows 11
290,"3,860",HP,,Intel Core i7,-1355U,16GB,512GB SSD,
291,"1,499",Acer,15.6-Inch,Core i5,,4GB,256GB SSD,
292,949,Lenovo,14-Inch,,,4GB,,
293,"1,749",HP,15.6-Inch,Core i5,-1135G,8GB,512GB SSD,Windows 11
294,"7,699",ASUS,14-Inch,,,16GB,1TB SSD,Windows 11
295,"2,549",ASUS,15.6-Inch,Core i7,-1355U,16GB,512GB SSD,
296,"1,499",Acer,15.6-Inch,Core i5,-1135G,8GB,256GB SSD,
297,"1,139",Acer,15.6-Inch,Core i3,-1115G,4GB,256GB SSD,
298,"5,198",Apple,13-Inch,,,256GB,256GB SSD,
299,"3,199",Lenovo,14-Inch,Core i7,-13700H,16GB,512GB SSD,Windows 11
300,"8,999",Acer,16-Inch,Core i9,-14900H,32GB,1TB SSD,Windows 11
301,899,Lenovo,,,,4GB,,
302,"2,799",Lenovo,,Intel Core i3,-1315U,8GB,512GB SSD,Windows 11
303,"1,849",DELL,15.6 Inch,Core i5,-1235U,8GB,512GB SSD,
304,"7,499",Acer,16-Inch,Core i9,-14900H,16GB,1TB SSD,Windows 11
305,"2,359",ASUS,15.6-Inch,,-7520U,8GB,512GB SSD,Windows 11
306,"2,199",Acer,14-Inch,,-5500U,8GB,512GB SSD,Windows 11
307,"1,099",Lenovo,14-Inch,,,4GB,128GB SSD,Windows 11
308,"9,999",Lenovo,13.3 Inch,Core i7,-1355U,16GB,1TB SSD,Windows 11
309,"3,099",Lenovo,15.6-Inch,Core i7,-1255U,8GB,512GB SSD,Windows 11
310,"7,199",Apple,,,,8GB,512GB SSD,
311,"6,999",HP,,Core i7,-1355U,32GB,1TB SSD,Windows 11
312,"1,799",ASUS,15.6-Inch,Core i3,,8GB,512GB SSD,Windows 11
313,"2,499",Lenovo,,,-5500U,4GB,512GB SSD,Windows 11
314,"2,999",Lenovo,15.6-Inch,,-5700U,8GB,512GB SSD,Windows 11
315,799,Lenovo,,,,4GB,256GB SSD,
316,"1,699",Lenovo,,Intel Core i5,-12500H,8GB,512GB SSD,
317,"3,999",ASUS,,,-6800H,16GB,512GB SSD,
318,"14,799",Apple,,,,36GB,1TB SSD,
319,"10,999",Apple,,,,18GB,1TB SSD,
320,"11,299",Apple,,,,18GB,512GB SSD,
321,"2,799",HP,,Intel Core i5,-1334U,8GB,512GB SSD,Windows 11
322,"8,099",Apple,,,,8GB,1TB SSD,
323,"3,699",MSI,15.6-Inch,Core i7,-12650H,16GB,512GB SSD,Windows 11
324,"11,299",Apple,,,,18GB,512GB SSD,
325,"15,999",Apple,,,,36GB,1TB SSD,
326,"8,099",Apple,,,,8GB,1TB SSD,
327,"5,799",Apple,,,,8GB,512GB SSD,
328,"2,499",HP,15.6-Inch,Core i5,-1235U,8GB,512GB SSD,
329,"10,999",Apple,,,,18GB,1TB SSD,
330,"5,999",Apple,13.6-Inch,,,512GB,512GB SSD,
331,"4,555",ASUS,15.6-Inch,Core i7,-12700H,16GB,512GB SSD,Windows 11
332,"7,300",DELL,15.6-Inch,Core i9,-13900H,32GB,1TB SSD,
333,"5,109",Acer,,Core i7,-13700H,16GB,512GB SSD,Windows 11
334,"2,550",DELL,,,,8GB,,Windows 11
335,"2,490",Microsoft,12-Inch,Intel Core i5,,8GB,128GB SSD,Windows 11
336,999,ASUS,,,,4GB,512GB SSD,
337,"12,890",MSI,,Core i9,-13980H,64GB,2TB SSD,Windows 11
338,"1,899",DELL,,Intel Core i5,-1235U,8GB,256GB SSD,Windows 11
339,"2,849",DELL,,Intel Core i5,-1355U,8GB,265GB SSD,
340,"2,839",DELL,,Intel Core i5,-1355U,8GB,265GB SSD,
341,"3,949",DELL,14-Inch,Core i7,-1165G,16GB,256GB SSD,
342,"10,999",Microsoft,14.4-Inch,Core i7,-11370H,32GB,2TB SSD,Windows 11
344,"8,999",ASUS,,Intel Core i7,-13650H,16GB,1TB SSD,Windows 11
345,"2,706",ASUS,14-Inch,Core i5,-1135G,8GB,512GB SSD,
346,"2,295",Lenovo,15.6-Inch,Core i7,,8GB,512GB SSD,
347,"1,299",HP,15.6-Inch,,,4GB,128GB SSD,Windows 10
348,"1,449",DELL,,Core i3,-1005G,,,Windows 10
349,"2,849",ASUS,16-Inch,Core i9,-13900H,8GB,512GB SSD,Windows 11
350,"9,400",Apple,14-Inch,,,16GB,1TB SSD,
351,"1,399",Lenovo,14-Inch,,,4GB,128GB SSD,Windows 10
352,"2,099",Acer,,Core i5,,8GB,256GB SSD,
